timestamp,RPM,TPS,Fuel Open Time,Ignition Angle,Barometer,MAP,Lambda,Pressure Type,Analog Input #1,Analog Input #2,Analog Input #3,Analog Input #4,Analog Input #5,Analog Input #6,Analog Input #7,Analog Input #8,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Driven Avg Wheel Speed,Non-Driven Avg Wheel Speed,Ignition Compensation,Ignition Cut Percentage,Driven Wheel Speed #1,Driven Wheel Speed #2,Non-Driven Wheel Speed #1,Non-Driven Wheel Speed #2,Battery Volt,Air Temp,Coolant Temp,Temp Type
1721153751.6011236,1930.0,2.0,1.77,6.6,14.7,12.52,0.98,KPA,1.45,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.6411376,2031.0,1.9,1.78,6.6,14.7,12.52,0.98,KPA,1.45,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.6511273,2031.0,1.9,1.78,6.6,14.7,12.75,0.98,KPA,1.45,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.66112,2031.0,1.9,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.671124,2031.0,1.9,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.6811512,2031.0,1.9,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.6817288,2031.0,1.9,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.691122,1952.0,2.0,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.6917121,1952.0,2.0,1.78,6.6,14.7,12.75,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.7011275,1952.0,2.0,1.78,6.6,14.7,12.67,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.7419946,1924.0,2.0,1.78,9.8,14.7,12.67,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.751103,1924.0,2.0,1.78,9.8,14.7,12.63,0.98,KPA,1.5,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.761113,1924.0,2.0,1.78,9.8,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.772312,1924.0,2.0,1.78,9.8,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.781138,1924.0,2.0,1.78,9.8,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
1721153751.781722,1924.0,2.0,1.78,9.8,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,106.0,199.6,C
